Country,Countrycode3,Countrycode2,Year,Population,Incomegroup,Mean,Median,Gini,Source,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Q1,Q2,Q3,Q4,Q5,P5,P95,Revision,Quality,Source_Comments,Region,Region_sub,Currency,Reference_Period,Welfaredefn,IncSharU,UofAnala,Equivsc,AreaCovr,PopCovr,AgeCovr,EU,OECD,Year_cat,Welfaredefn_new,Equivsc_new,AgeCovr_new,AreaCovr_new,PopCovr_new,IncSharU_new,UofAnala_new,Exchangerate,Mean_usd,Median_usd
Chile,CHL,CL,1990,13.141202,High income: OECD,,,55.7,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Monetary income, disposable",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1990,13.141202,High income: OECD,4340.4,2213.52,57.25,World Bank 2016,1.19,2.17,2.89,3.67,4.57,5.75,7.38,9.92,15.41,47.05,3.36,6.56,10.32,17.3,62.46,,,New 2017,Average,PovcalNet,Americas,South America,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,Other,Household per capita,All,All,All,Household,Person,1,,
Chile,CHL,CL,1991,13.354054,High income: OECD,,,55.4,Chile MIDEPLAN 1994,,,,,,,,,,,,,,,,,,,Low,,Americas,South America,,,"Income, gross",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, gross",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,50.7,Chile MIDEPLAN 1994,,,,,,,,,,,4.1,8.6,12.7,18.9,55.7,,,,Low,,Americas,South America,,,"Income, gross",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, gross",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,524080.8,,52.8,"Deininger & Squire, World Bank 2004",1.4,2.52,3.32,4.18,5.13,6.33,7.96,10.42,15.27,43.48,3.92,7.49,11.46,18.38,58.74,,,,Average,Caracterization Socioeconomica Nacional (CASEN),Americas,South America,Pesos,Month,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,362.575833333333,1445.43994140625,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,50.9,ECLAC,1.8,3,3.8,4.6,5.6,6.6,8,10,13.8,43,4.8,8.4,12.2,18,56.8,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,55.1,ECLAC,1.4,2.4,3.2,4,4.8,6,7.8,10.2,15,45.4,3.8,7.2,10.8,18,60.4,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,54.7,ECLAC,1.4,2.4,3.2,4,5,6.2,7.8,10.2,15.2,44.8,3.8,7.2,11.2,18,60,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,53.1,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.6,2.6,3.4,4.2,5.1,6.2,7.8,10.2,14.8,44,4.2,7.6,11.3,18,58.8,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,775056,,54.7,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.5,2.4,3.2,4,4.9,6.1,7.7,10.2,15,45,3.9,7.2,11,17.9,60,,,New 2017,High,,Americas,South America,LCU,Year,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,362.575833333333,2137.67993164062,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,54.3,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Earnings, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,47.2,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,52.2,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,51.6,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,1992,13.566942,High income: OECD,,,53.1,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Monetary income, disposable",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1993,13.778676,High income: OECD,,,50,IADB Integration and Regional Programs Dept. web 1999,2,3.2,4,4.9,5.8,6.5,7.9,10.2,13.8,41.8,5.2,8.9,12.3,18.1,55.6,,,,Average,HBS,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,54.6,ECLAC,1.2,2.4,3.2,4,5,6.2,7.8,10.4,15.6,44,3.6,7.2,11.2,18.2,59.6,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,50.3,ECLAC,1.8,3,4,4.8,5.6,6.6,8,10,13.6,42.6,4.8,8.8,12.2,18,56.2,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,55.2,ECLAC,1.2,2.4,3,4,5,6.2,7.8,10.4,15.4,44.8,3.6,7,11.2,18.2,60.2,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,54.9,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.4,2.4,3.2,4,4.9,6,7.6,10.2,15.4,45,3.8,7.2,10.9,17.8,60.4,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,1062384,,56.3,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.3,2.2,3,3.8,4.7,5.9,7.5,10.2,15.6,45.8,3.5,6.8,10.6,17.7,61.4,,,New 2017,High,,Americas,South America,LCU,Year,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,420.176666666667,2528.39990234375,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,57.7,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Earnings, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,55.6,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,55,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,51,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,,,57.4,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Monetary income, disposable",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1994,13.987999,High income: OECD,5190,2718.24,56.43,World Bank 2016,1.23,2.23,2.97,3.76,4.7,5.89,7.53,10.2,15.59,45.91,3.46,6.73,10.59,17.73,61.5,,,New 2017,Average,PovcalNet,Americas,South America,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,Other,Household per capita,All,All,All,Household,Person,1,,
Chile,CHL,CL,1995,14.193986,High income: OECD,1211280,,57.2,"Deininger & Squire, World Bank 2004",1.46,2.39,3.18,4.02,5,6.2,7.71,9.98,14.69,45.37,3.84,7.2,11.21,17.69,60.06,,,,Average,Encuesta Nacional del Empleo (ENE),Americas,South America,Pesos,Month,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,396.773333333333,3052.830078125,
Chile,CHL,CL,1996,14.39602,High income: OECD,1257825.6,,57.7,"Deininger & Squire, World Bank 2004",1.42,2.34,3.11,3.95,4.89,6.06,7.63,9.95,14.76,45.9,3.75,7.06,10.95,17.58,60.66,,,,Average,Encuesta Nacional del Empleo (ENE),Americas,South America,Pesos,Month,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,412.266666666667,3051,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,55.3,ECLAC,1.2,2.2,3,3.8,4.8,6,7.8,10.4,15.6,44.8,3.4,6.8,10.8,18.2,60.4,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,49.1,ECLAC,1.8,3,4,4.8,5.8,7,8.4,10.4,14.2,40.8,4.8,8.8,12.8,18.8,55,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,54.5,ECLAC,1.4,2.4,3.2,4,5,6.2,7.8,10.6,15.6,44,3.8,7.2,11.2,18.4,59.6,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,53.5,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.5,2.5,3.3,4.1,5,6.2,7.8,10.4,15.5,43.6,4,7.4,11.2,18.2,59.1,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Chile,CHL,CL,1996,14.39602,High income: OECD,1326024,,54.8,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.4,2.3,3.1,3.9,4.9,6.1,7.8,10.4,15.7,44.4,3.7,7,11,18.2,60.1,,,New 2017,High,,Americas,South America,LCU,Year,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,412.266666666667,3216.47998046875,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,58.5,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Earnings, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,50.1,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,55.5,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,56.4,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1996,14.39602,High income: OECD,,,57.2,Szekely and Hilgert 2002,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizacion Socioeconomica Nacional,Americas,South America,,,"Monetary income, disposable",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1998,14.788609,High income: OECD,1155465.6,,55.8,"Deininger & Squire, World Bank 2004",1.14,2.42,3.27,4.14,5.13,6.31,7.81,10.22,15.08,44.49,3.56,7.4,11.44,18.02,59.57,,,,Average,Caracterization Socioeconomica Nacional (CASEN),Americas,South America,Pesos,Month,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,460.2875,2510.31005859375,
Chile,CHL,CL,1998,14.788609,High income: OECD,,,49.4,ECLAC,1.8,3,4,4.8,5.8,7,8.4,10.4,14,41,4.8,8.8,12.8,18.8,55,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,1998,14.788609,High income: OECD,,,55.2,ECLAC,1.2,2.2,3,4,4.8,6,7.8,10.4,15.8,44.4,3.4,7,10.8,18.2,60.2,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,1998,14.788609,High income: OECD,,,56,ECLAC,1.2,2.2,3,3.8,4.8,6,7.6,10.4,15.8,45.2,3.4,6.8,10.8,18,61,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1998,14.788609,High income: OECD,,,54.1,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.4,2.4,3.2,4.1,5,6.1,7.8,10.3,15.5,44,3.8,7.3,11.1,18.1,59.5,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Chile,CHL,CL,1998,14.788609,High income: OECD,1576032,,55.4,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.3,2.3,3.1,3.9,4.8,6,7.7,10.3,15.7,44.9,3.6,7,10.8,18,60.6,,,New 2017,High,,Americas,South America,LCU,Year,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,460.2875,3423.9599609375,
Chile,CHL,CL,1998,14.788609,High income: OECD,,,55.9,Szekely 2003,,,,,,,,,,,,,,,,,,,Average,Encuesta de Caracterizaci�n Socioecon�mica Nacional,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,1999,14.980484,High income: OECD,1630929.6,,57.3,"Deininger & Squire, World Bank 2004",1.38,2.3,3.04,3.83,4.73,5.78,7.33,9.56,13.75,48.29,3.68,6.88,10.51,16.89,62.04,,,,Average,Encuesta Nacional del Empleo (ENE),Americas,South America,Pesos,Month,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,508.776666666667,3205.59008789062,
Chile,CHL,CL,2000,15.170387,High income: OECD,1558466.4,,61.4,"Deininger & Squire, World Bank 2004",0.91,2,2.73,3.51,4.43,5.55,7.04,9.46,14.63,49.75,2.91,6.24,9.98,16.49,64.38,,,,Average,Caracterization Socioeconomica Nacional (CASEN),Americas,South America,Pesos,Month,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,539.5875,2888.26000976562,
Chile,CHL,CL,2000,15.170387,High income: OECD,,,56.4,ECLAC,1.2,2.2,3,3.8,4.8,6,7.6,10,15.2,46.2,3.4,6.8,10.8,17.6,61.4,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,2000,15.170387,High income: OECD,,,51.1,ECLAC,1.4,2.8,3.8,4.6,5.8,6.6,8.2,10.2,13.8,42.6,4.2,8.4,12.4,18.4,56.4,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,2000,15.170387,High income: OECD,,,55.8,ECLAC,1.2,2.2,3,4,4.8,6,7.6,10,15.4,45.6,3.4,7,10.8,17.6,61,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,2000,15.170387,High income: OECD,,,54.4,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.4,2.5,3.3,4.1,5,6.1,7.6,10.1,14.9,45,3.9,7.4,11.1,17.7,59.9,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Chile,CHL,CL,2000,15.170387,High income: OECD,1707684,,55.5,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.3,2.3,3.1,3.9,4.9,6,7.6,10.1,15.2,45.6,3.6,7,10.9,17.7,60.8,,,New 2017,High,,Americas,South America,LCU,Year,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,539.5875,3164.76000976562,
Chile,CHL,CL,2003,15.729268,High income: OECD,,,55.2,ECLAC,1.2,2.4,3.2,4,5,6.2,7.6,10,15,45.4,3.6,7.2,11.2,17.6,60.4,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,2003,15.729268,High income: OECD,,,50.7,ECLAC,1.6,3,3.8,4.8,5.6,6.6,8,10,13.6,43,4.6,8.6,12.2,18,56.6,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,2003,15.729268,High income: OECD,,,54.7,ECLAC,1.4,2.4,3.2,4,5,6.2,7.8,10.2,15,45,3.8,7.2,11.2,18,60,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,2003,15.729268,High income: OECD,,,53.2,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.5,2.6,3.4,4.2,5.1,6.2,7.8,10.2,15,43.9,4.1,7.6,11.3,18,58.9,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Chile,CHL,CL,2003,15.729268,High income: OECD,1884504,,54.7,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.4,2.5,3.2,4,5,6.1,7.7,10.1,15,45,3.9,7.2,11.1,17.8,60,,,New 2017,High,,Americas,South America,LCU,Year,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,691.3975,2725.67993164062,
Chile,CHL,CL,2003,15.729268,High income: OECD,6138.24,3396.48,54.61,World Bank 2016,1.37,2.45,3.23,4.05,4.99,6.15,7.7,10.1,14.98,44.97,3.82,7.28,11.14,17.8,59.95,,,New 2017,Average,PovcalNet,Americas,South America,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,1,,
Chile,CHL,CL,2006,16.279728,High income: OECD,,,52.2,ECLAC,1.4,2.6,3.4,4.4,5.2,6.4,8,10.6,15.6,42.2,4,7.8,11.6,18.6,57.8,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,2006,16.279728,High income: OECD,,,50.6,ECLAC,1.8,3,3.8,4.6,5.6,6.6,8,10,13.4,43,4.8,8.4,12.2,18,56.4,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,2006,16.279728,High income: OECD,,,51.7,ECLAC,1.4,2.6,3.4,4.4,5.4,6.6,8.2,10.8,15.6,41.6,4,7.8,12,19,57.2,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,2006,16.279728,High income: OECD,3800000,2300000,50.9,OECD StatExtract,,,,,,,,,,,,,,,,,,New 2013,High,Current prices,Americas,South America,,,"Income, net",Household,Person,"Household eq, sqrt",All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,530.275,7166.08984375,4337.3701171875
Chile,CHL,CL,2006,16.279728,High income: OECD,2200000,,52.7,OECD StatExtract,,,,,,,,,,,,,,,,,,New 2013,High,Current prices,Americas,South America,,,Market income,Household,Person,"Household eq, sqrt",All,All,All,Non-EU,OECD,2000-2009,"Income, gross",Household adult equiv,All,All,All,Household,Person,530.275,4148.7900390625,
Chile,CHL,CL,2006,16.279728,High income: OECD,,,50.4,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.7,2.9,3.7,4.5,5.5,6.6,8.2,10.6,15.4,41,4.6,8.2,12.1,18.8,56.4,,,New 2017,High,,Americas,South America,,,"Income, net",Household,Person,Household eq,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Chile,CHL,CL,2006,16.279728,High income: OECD,2160456,,51.7,Socio-Economic Database for Latin America and the Caribbean (SEDLAC) 2016,1.6,2.7,3.5,4.4,5.3,6.5,8.1,10.6,15.5,41.9,4.3,7.9,11.8,18.7,57.4,,,New 2017,High,,Americas,South America,LCU,Year,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,530.275,4074.23999023438,
Chile,CHL,CL,2006,16.279728,High income: OECD,6622.32,3880.8,51.79,World Bank 2016,1.57,2.67,3.5,4.36,5.32,6.49,8.09,10.56,15.47,41.96,4.24,7.86,11.81,18.65,57.43,,,New 2017,Average,PovcalNet,Americas,South America,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,1,,
Chile,CHL,CL,2009,16.829957,High income: OECD,,,52.4,ECLAC,1.4,2.6,3.6,4.4,5.2,6.4,8,10.4,15,43,4,8,11.6,18.4,58,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Chile,CHL,CL,2009,16.829957,High income: OECD,,,46.6,ECLAC,1.8,3.4,4.2,5.2,6.2,7.4,8.8,10.8,14.4,38,5.2,9.4,13.6,19.6,52.4,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Rural,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,Rural,All,Household,Person,,,
Chile,CHL,CL,2009,16.829957,High income: OECD,,,52.4,ECLAC,1.4,2.6,3.6,4.4,5.2,6.4,8,10.4,15.2,42.8,4,8,11.6,18.4,58,,,,High,,Americas,South America,,,"Income, net",Household,Person,Per capita,Urban,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household per capita,All,Urban,All,Household,Person,,,
Chile,CHL,CL,2009,16.829957,High income: OECD,4800000,2900000,50.8,OECD StatExtract,,,,,,,,,,,,,,,,,,New 2013,High,Current prices,Americas,South America,,,"Income, net",Household,Person,"Household eq, sqrt",All,All,All,Non-EU,OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,560.85989484127,8558.2900390625,5170.6298828125
Chile,CHL,CL,2009,16.829957,High income: OECD,2900000,,53.1,OECD StatExtract,,,,,,,,,,,,,,,,,,New 2013,High,Current prices,Americas,South America,,,Market income,Household,Person,"Household eq, sqrt",All,All,All,Non-EU,OECD,2000-2009,"Income, gross",Household adult equiv,All,All,All,Household,Person,560.85989484127,5170.6298828125,
